BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
1.7243229166666667,1.6474659864285714,2.313125,1.6132124185882353,2.0871088435714285,2.8443877551020407,1.8860034013265305,1.7940625000000001,2.4376870747959183,1.863758503367347,1.6545408163265305,3.05940000004,2.5468248889199994,3.3325520833333333,1.6058333333333334,1.909795918367347,1.7365476190816325,1.8355442176530612,1.6445408163265305,1.6975520833333333,2.4254166666666666,1.9953741496938777,1.2774149660204082,2.1990136054081635
1.7271874999999999,1.6469591837142856,2.30875,1.6327189545294116,2.096530612285714,2.8682653061224492,1.8982040815918366,1.796875,2.466224489755102,1.8735102040408163,1.6574489795918366,3.06513333338,2.5468248889199994,3.3390625,1.615,1.9227551020408162,1.753857142897959,1.8376530611836734,1.6434489795918366,1.6990625,2.4525,1.997448979632653,1.2828979592244898,2.202816326489796
1.7300520833333333,1.646452381,2.304375,1.6522254904705882,2.105952381,2.8921428571428573,1.9104047618571427,1.7996875,2.4947619047142857,1.8832619047142856,1.6603571428571429,3.0708666667199997,2.5468248889199994,3.3455729166666663,1.6241666666666668,1.9357142857142857,1.7711666667142856,1.8397619047142857,1.6423571428571428,1.7005729166666665,2.4795833333333333,1.9995238095714287,1.2883809524285714,2.206619047571429
1.7329166666666667,1.6459455782857142,2.3,1.6717320264117645,2.1153741497142855,2.9160204081632655,1.922605442122449,1.8025,2.523299319673469,1.893013605387755,1.663265306122449,3.07660000006,2.5468248889199994,3.3520833333333333,1.6333333333333333,1.948673469387755,1.7884761905306121,1.841870748244898,1.641265306122449,1.7020833333333334,2.506666666666667,2.0015986395102043,1.293863945632653,2.2104217686530614
1.73578125,1.6454387755714286,2.295625,1.6912385623529411,2.1247959184285716,2.9398979591836736,1.934806122387755,1.8053125,2.551836734632653,1.9027653060612244,1.666173469387755,3.0823333334,2.5468248889199994,3.35859375,1.6425,1.9616326530612245,1.8057857143469387,1.8439795917755102,1.640173469387755,1.70359375,2.53375,2.0036734694489797,1.2993469388367347,2.214224489734694
1.7386458333333332,1.6449319728571428,2.29125,1.7107450982941175,2.1342176871428573,2.9637755102040817,1.9470068026530611,1.808125,2.5803741495918366,1.9125170067346937,1.669081632653061,3.08806666674,2.5468248889199994,3.3651041666666663,1.6516666666666666,1.9745918367346937,1.8230952381632652,1.8460884353061224,1.639081632653061,1.7051041666666666,2.5608333333333335,2.005748299387755,1.3048299320408163,2.218027210816327
1.7415104166666666,1.6444251701428572,2.2868749999999998,1.730251634235294,2.143639455857143,2.98765306122449,1.9592074829183672,1.8109375,2.60891156455102,1.9222687074081632,1.6719897959183672,3.09380000008,2.5468248889199994,3.3716145833333333,1.6608333333333334,1.9875510204081632,1.8404047619795918,1.8481972788367347,1.6379897959183674,1.7066145833333333,2.5879166666666666,2.0078231293265305,1.310312925244898,2.2218299318979593
1.744375,1.6439183674285713,2.2824999999999998,1.7497581701764706,2.1530612245714287,3.011530612244898,1.9714081631836735,1.81375,2.637448979510204,1.9320204080816326,1.6748979591836735,3.0995333334199997,2.5468248889199994,3.378125,1.67,2.0005102040816327,1.8577142857959184,1.850306122367347,1.6368979591836734,1.708125,2.615,2.0098979592653063,1.3157959184489796,2.225632652979592
1.7472395833333334,1.6434115647142857,2.278125,1.769264706117647,2.1624829932857144,3.035408163265306,1.9836088434489796,1.8165625,2.6659863944693876,1.941772108755102,1.6778061224489795,3.10526666676,2.5468248889199994,3.3846354166666663,1.6791666666666667,2.013469387755102,1.875023809612245,1.8524149658979592,1.6358061224489795,1.7096354166666665,2.6420833333333333,2.0119727892040817,1.3212789116530612,2.2294353740612247
1.7501041666666666,1.642904762,2.27375,1.7887712420588233,2.171904762,3.059285714285714,1.9958095237142857,1.819375,2.6945238094285715,1.9515238094285714,1.6807142857142856,3.1110000000999998,2.5468248889199994,3.3911458333333333,1.6883333333333335,2.0264285714285712,1.8923333334285712,1.8545238094285714,1.6347142857142856,1.7111458333333334,2.6691666666666665,2.014047619142857,1.3267619048571428,2.233238095142857
