BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
0.03546875,0.032105442,0.0915,0.05377210902040816,0.04982176853061225,0.0938319726122449,0.06879591836734694,2.0846770833333332,0.07682312942857142,0.05794625832653061,0.04334013587755102,0.03842857142857142,0.08359716672,0.10539583333333333,0.06397916666666667,0.062367346938775506,0.061801360367346944,0.039350339959183675,0.033105442,0.024489583333333332,0.12404166666666666,0.06187755102040816,0.03641156444897959,0.0677380950612245
0.035390624999999995,0.032397959000000004,0.09125,0.05439795936734694,0.05014183655102041,0.09382551002040816,0.06932653061224489,2.0552031250000002,0.0778163267142857,0.05848265287755102,0.04362244879591837,0.03971428571428571,0.08359716672,0.10521875,0.06384375,0.06361224489795919,0.0615244896122449,0.039806122265306124,0.033397959,0.024546875,0.12481249999999999,0.062295918367346936,0.03665816308163265,0.06828571410204082
0.0353125,0.032690475999999996,0.091,0.055023809714285714,0.05046190457142857,0.09381904742857143,0.06985714285714285,2.025729166666667,0.07880952399999999,0.05901904742857143,0.043904761714285714,0.040999999999999995,0.08359716672,0.10504166666666667,0.06370833333333334,0.06485714285714286,0.06124761885714286,0.04026190457142857,0.033690476,0.024604166666666667,0.12558333333333332,0.06271428571428571,0.036904761714285715,0.06883333314285714
0.035234375,0.032982993,0.09075,0.05564966006122449,0.05078197259183674,0.09381258483673469,0.07038775510204082,1.9962552083333334,0.07980272128571428,0.05955544197959184,0.04418707463265306,0.04228571428571428,0.08359716672,0.10486458333333333,0.06357291666666667,0.06610204081632653,0.06097074810204082,0.04071768687755102,0.033982992999999996,0.024661458333333334,0.12635416666666666,0.06313265306122448,0.03715136034693878,0.06938095218367347
0.03515625,0.03327551,0.0905,0.05627551040816327,0.0511020406122449,0.09380612224489795,0.07091836734693878,1.96678125,0.08079591857142857,0.060091836530612244,0.04446938755102041,0.043571428571428567,0.08359716672,0.1046875,0.06343750000000001,0.0673469387755102,0.06069387734693878,0.04117346918367347,0.034275509999999995,0.02471875,0.127125,0.06355102040816327,0.03739795897959183,0.0699285712244898
0.035078125,0.033568027,0.09025,0.056901360755102035,0.05142210863265306,0.09379965965306122,0.07144897959183674,1.9373072916666667,0.08178911585714285,0.06062823108163265,0.044751700469387756,0.04485714285714285,0.08359716672,0.10451041666666666,0.06330208333333334,0.06859183673469388,0.060417006591836735,0.04162925148979592,0.034568027,0.024776041666666665,0.12789583333333332,0.06396938775510204,0.037644557612244896,0.07047619026530613
0.034999999999999996,0.033860544,0.09,0.057527211102040815,0.05174217665306123,0.09379319706122449,0.07197959183673469,1.9078333333333335,0.08278231314285714,0.06116462563265306,0.045034013387755104,0.04614285714285714,0.08359716672,0.10433333333333333,0.06316666666666668,0.06983673469387755,0.06014013583673469,0.04208503379591837,0.034860544,0.024833333333333332,0.12866666666666665,0.06438775510204081,0.03789115624489796,0.07102380930612245
0.034921875,0.034153061,0.08975,0.058153061448979596,0.05206224467346939,0.09378673446938775,0.07251020408163265,1.878359375,0.08377551042857143,0.061701020183673475,0.04531632630612245,0.047428571428571424,0.08359716672,0.10415625,0.06303125,0.07108163265306122,0.05986326508163266,0.042540816102040815,0.035153061,0.024890625,0.12943749999999998,0.06480612244897958,0.03813775487755102,0.07157142834693878
0.03484375,0.034445578,0.0895,0.05877891179591836,0.05238231269387755,0.09378027187755102,0.07304081632653062,1.8488854166666666,0.08476870771428571,0.06223741473469388,0.0455986392244898,0.04871428571428571,0.08359716672,0.10397916666666666,0.06289583333333333,0.0723265306122449,0.059586394326530616,0.042996598408163264,0.035445578,0.024947916666666667,0.13020833333333331,0.06522448979591836,0.03838435351020408,0.07211904738775511
0.034765625,0.034738095,0.08925,0.05940476214285714,0.05270238071428572,0.09377380928571429,0.07357142857142857,1.8194114583333334,0.085761905,0.06277380928571429,0.045880952142857145,0.049999999999999996,0.08359716672,0.10380208333333334,0.06276041666666667,0.07357142857142857,0.059309523571428574,0.04345238071428571,0.035738095,0.025005208333333334,0.13097916666666665,0.06564285714285714,0.03863095214285714,0.07266666642857143
